Source,Type,Target,Weight
Абабков,Undirected,Амвросий,1
Абабков,Undirected,Арчибальд Арчибальдович,1
Абабков,Undirected,Берлиоз,1
Абабков,Undirected,Глухарев,1
Абабков,Undirected,Двубратский,1
Абабков,Undirected,Денискин,1
Абабков,Undirected,Желдыбин,1
Абабков,Undirected,Жорж Бенгальский,1
Абабков,Undirected,Загривов,1
Абабков,Undirected,Иван Понырев,1
Абабков,Undirected,Иероним Поприхин,1
Абабков,Undirected,Мстислав Лаврович,1
Абабков,Undirected,Настасья Непременова,1
Абабков,Undirected,Пантелея из буфетной,1
Абабков,Undirected,Сашка Рюхин,1
Абабков,Undirected,Фока,1
Абабков,Undirected,швейцар Николай,1
Абадонна,Undirected,Азазелло,2
Абадонна,Undirected,Бегемот,2
Абадонна,Undirected,Берлиоз,1
Абадонна,Undirected,Воланд,2
Абадонна,Undirected,Гелла,2
Абадонна,Undirected,Жак,1
Абадонна,Undirected,Кот,2
Абадонна,Undirected,Маргарита Николаевна,2
Абадонна,Undirected,Минкина,1
Абадонна,Undirected,Наташа,2
Абадонна,Undirected,Роберт,1
Абадонна,Undirected,Рудольф,1
Абадонна,Undirected,Тофана,1
Абадонна,Undirected,Фагот-Коровьев,2
Абадонна,Undirected,Фрида,1
Абадонна,Undirected,барон Майгель,1
Азазелло,Undirected,Алоизий Могарыч,1
Азазелло,Undirected,Андрей Соков,1
Азазелло,Undirected,Анна Францевна,1
Азазелло,Undirected,Аннушка,2
Азазелло,Undirected,Анфиса,1
Азазелло,Undirected,Аркадий Аполлонович,1
Азазелло,Undirected,Бегемот,6
Азазелло,Undirected,Берлиоз,2
Азазелло,Undirected,Воланд,9
Азазелло,Undirected,Гелла,4
Азазелло,Undirected,Григорий Римский,1
Азазелло,Undirected,Груня,1
Азазелло,Undirected,Жак,1
Азазелло,Undirected,Иван Варенуха,2
Азазелло,Undirected,Иван Понырев,4
Азазелло,Undirected,Китайцев,1
Азазелло,Undirected,Кот,5
Азазелло,Undirected,Ксения Никитишна,1
Азазелло,Undirected,Левий Матвей,2
Азазелло,Undirected,Максимилиан Поплавский,1
Азазелло,Undirected,Маргарита Николаевна,8
Азазелло,Undirected,Мастер,1
Азазелло,Undirected,Минкина,1
Азазелло,Undirected,Наташа,5
Азазелло,Undirected,Николай Иванович,3
Азазелло,Undirected,Понтий Пилат,1
Азазелло,Undirected,Прасковья Федоровна,1
Азазелло,Undirected,Роберт,1
Азазелло,Undirected,Рудольф,1
Азазелло,Undirected,Степан Лиходеев,2
Азазелло,Undirected,Тофана,1
Азазелло,Undirected,Фагот-Коровьев,7
Азазелло,Undirected,Фрида,2
Азазелло,Undirected,барон Майгель,2
Азазелло,Undirected,критик Латунский,1
Азазелло,Undirected,профессор Кузьмин,1
Азазелло,Undirected,рыжий гражданин,1
Алоизий Могарыч,Undirected,Аннушка,1
Алоизий Могарыч,Undirected,Бегемот,1
Алоизий Могарыч,Undirected,Берлиоз,1
Алоизий Могарыч,Undirected,Воланд,2
Алоизий Могарыч,Undirected,Гелла,1
Алоизий Могарыч,Undirected,Иван Варенуха,2
Алоизий Могарыч,Undirected,Иван Понырев,3
Алоизий Могарыч,Undirected,Кот,2
Алоизий Могарыч,Undirected,Маргарита Николаевна,2
Алоизий Могарыч,Undirected,Мастер,1
