авест.- авестийский 
азерб.- азербайджанский 
алб.- албанский 
англ.- английский 
араб.- арабский 
арм.- армянский 
балт.- балтийский 
блр.- белорусский 
болг.- болгарский 
вед.- вепсский
венг.- венгерский 
вел.- вепсский 
в.-луж.- верхнелужицкий 
вост.-слав.- славянский 
галльск.- галльский 
герм.- германский 
голл.- голландский 
гот.- готский 
греч.- греческий 
груз.- грузинский 
дат.- датский
др.-англ.- английский 
др.-в.-нем.- немецкий 
др.-герм.-германский
др.-евр.- иврит
др.-инд.- индийский 
др.-иран.- иранский 
др.-ирл.- ирландский 
др.-исл.- исландский 
др.-лит.- литовский 
др.-польск.- польский 
др.-прусск.- прусский 
др.-рус.- русский 
др.-тюрк.- тюркский 
зап.-слав.- славянский 
ион.- греческий 
иран.- иранский 
ирл.- ирландский 
исл.- исландский 
исп.- испанский 
итал.- итальянский 
казах,- казахский 
карельск.- карельский 
кашуб.- кашубский 
кельт.- кельтский 
кимр.- кимрский 
кирг.- киргизский 
лат.- латинский 
лит.- литовский 
лтш.- латышский 
мак.- македонский 
монг.- монгольский 
нар.-лат.- латинский 
нем.- немецкий 
н.-луж.- нижнелужицкий 
н.-нем.- немецкий 
нов.-в.-нем.- немецкий 
нов.-греч.- греческий 
норв.- норвежский 
осщеслав.- славянский 
осет.- осетинский 
перс.- персидский 
позднелат.- латинский 
полабск.- полабский 
полесск.- полесский 
польск.- польский 
португ.- португальский 
праслав.- славянский 
прованс.- провансальский 
ром.- романский 
рум.- румынский 
рус.- русский 
сир.- сирийский 
слав.- славянский 
словацк,- словацкий 
словен.- словенский 
ср.-болг.- болгарский 
ср.-в.-нем.- немецкий 
ср.-греч.- греческий
ср.-лат.- латинский 
ср.-нидерл.- нидерландский
ср.-н.-нем.- немецкий 
ср.-перс.- персидский
ст.-сл.- славянский 
ст.-финск.- финский 
ст.-франц.- французский 
ст.-чеш.- чешский 
схв.- сербский, хорватский 
татарск.- татарский 
тохар.- тохарский
тур.- турецкий 
туркм.- туркменский 
тюрк.- тюркский 
укр.- украинский 
финск.- финский 
франк.- франкский
франц.- французский
хет.- хеттский
церк.- церковнославянский
ц.-слав.- церковнославянский
чеш.- чешский
чув.- чувашский
швед.- шведский
эст.- эстонский
этрусск.- этрусский
южн.-слав.- славянский
др.-греч.- греческий 
др.-рим.- латинский
др.-слав.- славянский 
искон.- русский 
