опоч	Опочка
калм	калмыкий 
др.-египетск	древнеегипетский 
астрах	Астраханская область
буковинск	Буковинский курень
народнолат	народная латынь
отрантск.-греч	отрантский греческий
эол	эолийский 
саам	саамский 
енис	Енисей
вестфальск	вестфальский диалект немецкого а
лат.-галльск	латинско-гальский 
кимр	валлийский 
балканско-скифск	балканско-скифский 
др.-мар	древнемарийский 
прусск	прусский 
зап.-кавк	западно-кавказский 
с.-в-р	северновеликорусский 
ит	итальянский 
датско-норв	датско-норвежский 
поздне-д.-в.-н	поздний древневерхненемецкий 
новогреко-ит	новогреко-итальянский 
нов.-инд	новоиндийский 
авест	авестийский 
великопольск	великольский 
истр	истророманский 
тоб.-тат	тобольско-татарский 
заон	Заонежье
араб	арабский 
н.-перс	новоперсидский 
вестф	вестфальский диалект немецкого а
хорв.-глаголич	хорватский глаголический 
вост.-болг	восточноболгарский 
древнегреч	древнегреческий 
вост.-укр	восточноукраинскй 
балканско-скиф	балканско-скифский 
караибск	караибский 
др.-русск.-цслав	древнерусский церковнославянский 
новорос	Новороссия
вост.-ср.-нем	восточносредненемецкий 
еврейско-нем	еврейско-немецкий 
прибалт.-нем	прибалтийско-немецкий 
ср.-в.-р	средневерхнерусский 
печенежск	печенежский 
данцигск	данцигский 
южнослав	южнославянский 
швейц.-нем	швейцарско-немецкий
двинск	Двинск
тур.-араб	турецко-арабский
зап.-слав	западно-славянский
калужск	калужский
сарат	саратовский
вост.-алгонкинск	восточноалгонкинский
др.-прусск	древне-прусский
нов.перс	новоперсидский
македонск.-рум	македонско-румынский
балканором	балкано-романский
псковск	псковский
греч.-егип	греческо-египетский
хантыйск	хантыйский
перс.-араб	персидско-арабский
сев.-индо-ир	североиндоиранский
балтийск	балтийский
смол	смоленский
кельт.-слав	кельтско-славянский
пракрит	пракритский
др.-в.-нем	древневерхненемецкий
нотозерск	нотозерский
стар.-нем	старонемецкий
ср.-англ	среднеанглийский
древнерусск	древнерусский
казан	казанский
азерб	азербайджанский
др-русск	древнерусский
латын-	латынь
череповец	череповецкий
бессараб	бессарабский
куанад	кванадинский
мексик	мексиканский
самодийск	самодийский
н.-лат	новолатинский
позднегот	позднеготский
осет	оетинский
каз	казанский
икавск	икавский
цыганск	цыганский
томск	томский
гутнийск	гутнийский
хати	хатский
волог	вологодский
вост.-слвц	восточнославянский
др.-чеш	древнечешский
камчатск	камчатский
южн.-франц	южнофранцузский
ср.-ир	среднеиранский
сев.-зап.-сиб	северозападносибирский
амурск	амурский
польск	польский
кыпч	кыпчакский
нижнерейнск	нижнерейнский
козловск	козловский район
ханты-к	хантыйско-кондыйский
нерчинск	нерчинский
фин.-шв	финско-шведский
хазарск	хараский
рязан	рязанский
скифск	скифский
бретон	бретонский
голл	голландский
владимирск	владимирский
датск.-норв	датско-норвежский
ю.-в.-р	южновеликорусский
койб	хакасско-койбальский
чеш.-цслав	чешско-церковнославянский
рум	румынский
тюрк	тюркский
крым.-гот	крымско-готский
вост.-нем	восточнонемецкий
ср.-н.-н	средненижненемецкий
тиквешск	тиквешский
ср.-брет	среднебретонский
штокавск	штокавский
арх	архангельский
мар	марийский
череповецк	череповецкий
индо-ир	индо-иранский
др.-еврейск	древнееврейский
пренест	пренестинский
киевск	киевский
доланск	доланский
новг	новгородский
рузск	рузский
симб	симбирский
ногайск	ногайский
нж.-луж	нижнелужицкий
алб	албанский
самоедск	самоедский
сербск	сербский
исп	испанский
исконнослав	исконнославянский
галицко-волынск	галицко-волынский
мезен	Мезень
обоянск	обоянский
ассиро-вавил	ассиро-вавилонский
арам	арамейский
башкир	башкиский
д.-н.-н	древненижненемецкий
сев.-вост.-ит	северовосточноитальянский
р.-тюрк	древнетюркский
саратовск	саратовский
карпатск	карпатский
др.-русск	древнерусский
причерноморск	причерноморский
мегр	мегрельский
кирилловск	кирилловский
бав.-вост.-ср.-нем	баварсковосточносредненемецкий
сев.-ит.диал	североитальянский
тарусск	тарусский
гамбургск	гамбургский
устюженск	устюженский
австр.-нем	австро-немецкий
макед.-рум	македонско-румынский
ранне-нов.-в.-н	ранненововерхненемецкий
венет.-иллир	венетский
нганасан	нганасанский
аккад	аккадский
фин.-угор	финно-угорский
чув	чувашский
нганасанск	нганасанский
ю.-русск	южнорусский
неслав	неславянский
беломорск	беломорский
австрийско-бав	австрийско-баварский
чеш.-мор	чешский мор
фран	французский
сербохорв	сербохорватский
кильд	саамский кильдинский
орл	орловский
осташковск	осташковский
петроз	петрозаводский
др.-чув	древнечувашский
умбр.-оск	умбро-оскский
черкасск	черкасский
крымск.-тат	крымско-татарский
сойон	сойотский	
оренбургск	оренбургский
пенз	пензенский
тар	тарский
арханг	архангельский
др.-сербск	древнесербский
шапсуг	шапсугский
др.-серб	древнесербский
лат.-ром	латинско-романский
перм	пермский
прибалт.-фин	прибалтийско-финский
онежск	онежский
-русск	русский
укр.-южнорусск	украинский-южнорусский
черниговск	черниговский
словенск	словенский
амурскогиляцк	амурско-гиляцкий
копт	коптский
горбатовск	горбатовский
сармат	сарматский
стар.-тур	старотурецкий
др.-евр	древнееврейский
хиндуст	хиндустани
малоарханг	малоархангельский
галльск.-лат	галльско-латинский
ктюрк	тюркский язык
индейск	индейский
вазирск	Сев.-Зап. Индия
эгейск	эгейский
печенгск	печенежский
др.-бретон	древнебретонский
петрозаводск	петрозаводский
ср.-болг	среднеболгарский
русск.-цслв	русский церковнославянский
вост.-осет	восточноосетинский
пракельт	пракельтский
пермск	пермский
вост.-фин	восточнофинский
украинск	украинский
авар	аварский
донск	донской
монастырско-лат	монастырско-латинский
п.-луж	переходный лужицкий
ю.-эст	южноэстонский
смоленск	смоленский
шадринск	шадринский
забайк	забайкальский
абадзех	абадзехский
др.-греч	древнегреческий
аварско-кавк	аварско-кавказский
вост.-слав	восточнославянский
скиф	скифский
каргопольск	каргопольский
балк	балканский
и.-е	индоевропейский
цслв	церковнославянский
фин.-угорск	финно-угорский
фриз	фризский
догреч	догреческий
н.-в.-н	нижневерхненемецкий
южн.-слав	южнославянский
тох	тохарский
коми	коми
др.-луж	древнелужицкий
ст.-лтш	старолатышский
бобруйск	бобруйский
ср.-нж.-нем	средненижненемецкий
могилевск	могилевский
офенск	офеня
памфильск	памфильский
исконпослав	исконнославянский
исл	исландский
узбек	узбекский
кильдинск	кильдинский саамский
франкск	франкский
др.-словен	древнесловенский
балканско-герм	балкано-германский
восточнослав	восточнославянский
бременск	бременский немецкий
д.-в.-п	древневерхнепольский?
половецк	половецкий
лид	лидийский
сарикольск	сарыкольский
орловск	орловский
народно-лат	народная латынь
каратайск	каратинский
екавск	икавский
брянск	брянский
родосск	родосский
икав	икавский
др.-арм	древнеармянский
таранч	таранчский
кыпч.-тур	кыпчакско-турецкий
петергофск	петергофский
сев.-тунг	северотунгусский
яренск	яренский
хамит	хамитский
перуанск	перуанский
вост.-сиб	восточносибирский
тунгусск	тунгусский
ямбургск	ямбургский
ю.-вост	южновосточный
кайк.-сербохорв	кайк.-сербохорватский
поздне-ср.-в.-н	поздресредневерхненемецкий
митаннийск	митаннийский арийский
др.-хорв	древнехорватский
тувинск	тувинский
путивльск	путивльский
др-инд	древнеиндейский
кельтск	кельтский
тюркск	тюркский
празап.-фин	западно-финский
тирольск	тирольский
греч	греческий
финикийск	финикийский		
оршанск	оршанский
фрак	фракийский
зап.-монг	западно-монгольский
бухар	бухарский
гуцульск	гуцульский
кавказск	кавказский
чеш.-слвц	чешско-словацкий
кашинск	кашинский
норв	норвежский
бурят	бурятский
польско-укр	польско-украинский
ср.-нидерл	средненидерландский
пелигнск	пелигнский
хивин	хивинский
пракр	пракритский
казанск	казанский
далм	далматинский
шуйск	дун-шуйский
мишар	мишарский
нов.-греч	новогреческий
д.-в-.н	древневерхненемецкий
дунайскобулг	дунайско-булгарский
печенг	печенежский
др.-венг	древневенгерский
кирг	киргизский
аравакск	аравакский
хив	хивинский
ненец	ненецкий
лужск	лужский
догот	доготский
соликамск	соликамский	
весьегонск	весьегонский
италийск	италийский
готландск	готландский
каргоп	каргопольский
караим	караимский
ло-амер	английский
лесн ненецкий лесной	
лисицы-эст	эстонский
др.-слав	древнеславянский
тихв	тихвинский
курд	курдский
финик	финикийский язык
в.-нем	верхненемецкий
абхаз	абхазский
кокандск	кокандский
вологод	вологодский
сургутск	сургутский
байк	байкальский
прабулг	прабулгарский
удинск	удинский
новогреч	новогреческий	
устюжск	устюжский
жиздринск	жиздринский
балто-слав	балто-славянский
кит	китайский
лаконск	лаконский
ржевск	ржевский
сербо-хорв	сербо-хорватский
жем	жемайтский
ср.-кимр	среднекимрский
моложск	моложский
чакав	чакавский
вод	водский
-польск	польский
балкан.-герм	балканско-германский
тверск	тверской
сербск.-цслав	сербско-церковнославянский
тат	татский
ср.-нем	средненемецкий
др.-сканд	древнескандинавский
кольск	кольский
тур	турецкий
евр	еврейский
финно-угорск	финно-угорский
исконнобалт	исконнобалтийский
алб.-гег	албанско-гегский	
среднеинд	среднеиндейский
миланск	миланский
прикасп	прикаспийский
др.-кимр	кимрский
швабск	швабский
церк.-слав	церковнославянский	
афг	афганский
амер	американский
тобольск	тобольский
ср.-нж.-н	средненижненемецкий
тоб	тобольский
трок	трокский
вост.-русск	восточнорусский
др.-нж.-н	древненижненемецкий
чешск	чешский
витебск	витебский
гдовск	гдовский
чеченск	чеченский
эст	эстонский
макед.-болг	македонско-болгарский
ягнобск	ягнобский
воронеж	воронежский
др.-нж.-нем	древненижненемецкий
иртышск	иртышский
др.-сакс	древнесаксонский
сев.-русск	севернорусский
прибалтийск	прибалтийский
юганск	юганский
прованс	провансальский
нов.-в.-нем	нововерхненемецкий
нар.-лат	народная латынь
ассир	ассирийский	
балт.-слав	балто-славянский
боровск	боровский
якутск	якутский
среднеазиатск	среднеазиатский
норт	нортский португальский
мор.-слвц	словацкий
каракалп	каракалпакский
др.-псковск	древнепсковский
сев.-фризск	севернофризский
-лит	литовский
моск	московский	
критск	критский
виленск	виленский
сандомирск	сандомирский
нов-в.-н	нововерхненемецкий	
вост.-тюрк	восточнотюркский
нижегор	нижегородский
водск	водский
сарапульск	сарапульский
торж	торжский
исконнолат	исконнолатинский
сербск.-слав	сербско-славянский
цслав.-греч	церковнославянско-греческий
позднегреч	позднегреческий
вост.-булг	восточнобулгарский
нж.-нем	нижненемецкий	
каринтийск	каринтийский
фриг	фригийский
ханты	ханты-мансисйский
швейц	швейцарский
полабск	полабский
якут	якутский	
тюрко-тат	тюрко-татарский
кубанск	кубанский
-инд	индийский
в.-луж	верхнелужицкий
коми-зырянск	коми-зырянский
ср.-греч	среднегреческий
сканд	скандинавский
чул	чулымский
тракайск	тракайский
перс.-тюрк	персидско-тюркский
др.-фриз	древнефризский
ганацк	ганацкий
польск.-силезск	польско-силезский
фин	финский
каталон	каталонский
ср.-в.-н	средневерхненемецкий
каспийск	каспийский
ю.-самодийск	южно-самодийский
ром	романский
тарск	тарский
узб	узбекский
церкв	церковнославянский	
ср.-ирл	среднеирландский
в.-н	верхненемецкий
шяуляйск	шяуляйский
дун.-булг	дунайско-булгарский
нов.-в.-н	нововерхненемецкий
др.-болг	древнеболгарский
цслав	церковнославянский
крым.-тат	крымско-татарский
негерм	негерманский
укр	украинский
суджанск	суджанский
сев.-зап.-тюрк	северозападнотюркский
австр	австрийский
новоладожск	новоладожский	
вост.-фризск	восточнофризский
брет	бретонский
др.-перс	древнеперсидский
др.-булг	древнебулгарский
исконно-слав	исконнославянский
вост.-мар	восточномарийский
херсонск	херсонский
костромск	костромской
галичск	галичский
вост.-якут	восточноякутский
оск.-умбр	умбро-оскский
герм	германский
новоземельск	новоземельский
беот	беотийский
поздне-греч	позднегреческий
шенкурск	шенкурский
макед	македонский
рыльск	рыльский
вост.-лтш	восточнолатышский
адыг	адыгейский
